sku,category,brand,name,variant,price,currency,image_url,retailer_url
FND-0020,foundation,Insight,Stay Matte Foundation,Golden Beige,199,INR,https://images.sample/insight_matte.jpg,https://www.nykaa.com/fnd20

EYE-0001,eyeshadow,Maybelline,The Nudes Palette,01 Nudes,599,INR,https://images.sample/nudes_palette.jpg,https://www.nykaa.com/eye1
EYE-0002,eyeshadow,Lakme,9to5 Eye Quartet,Desert Rose,650,INR,https://images.sample/lakme_eyequartet.jpg,https://www.nykaa.com/eye2
EYE-0003,eyeshadow,L'Oreal,La Petite Palette,Maximalist,799,INR,https://images.sample/loreal_pet.jpg,https://www.nykaa.com/eye3
EYE-0004,eyeshadow,MAC,Amber Times Nine Palette,Neutral,4200,INR,https://images.sample/mac_amber.jpg,https://www.nykaa.com/eye4
EYE-0005,eyeshadow,Huda Beauty,Nude Obsessions Palette,Light,2500,INR,https://images.sample/huda_nude.jpg,https://www.nykaa.com/eye5
EYE-0006,eyeshadow,Swiss Beauty,Ultimate Shadow Palette,Berry,349,INR,https://images.sample/swiss_berry.jpg,https://www.nykaa.com/eye6
EYE-0007,eyeshadow,Insight,Pro Eyeshadow Palette,Smokey,220,INR,https://images.sample/insight_smokey.jpg,https://www.nykaa.com/eye7
EYE-0008,eyeshadow,Lakme,Absolute Infinity Eyeshadow,Soft Nudes,995,INR,https://images.sample/lakme_infinity.jpg,https://www.nykaa.com/eye8
EYE-0009,eyeshadow,Maybelline,City Mini Palette,Urban Jungle,750,INR,https://images.sample/mayb_citymini.jpg,https://www.nykaa.com/eye9
EYE-0010,eyeshadow,L'Oreal,Color Riche Les Ombres,Velvet Rose,899,INR,https://images.sample/loreal_ombres.jpg,https://www.nykaa.com/eye10
EYE-0011,eyeshadow,MAC,Art Library Palette,Nude Model,4900,INR,https://images.sample/mac_artlib.jpg,https://www.nykaa.com/eye11
EYE-0012,eyeshadow,Huda Beauty,Rose Quartz Palette,Multi,5400,INR,https://images.sample/huda_rose.jpg,https://www.nykaa.com/eye12
EYE-0013,eyeshadow,Swiss Beauty,Shimmer Eyeshadow Kit,Golden Glow,299,INR,https://images.sample/swiss_glow.jpg,https://www.nykaa.com/eye13
EYE-0014,eyeshadow,Insight,Color Play Eyeshadow,Shade 05,180,INR,https://images.sample/insight_play.jpg,https://www.nykaa.com/eye14
EYE-0015,eyeshadow,Lakme,Kajal Eyeshadow Duo,Smokey Eyes,750,INR,https://images.sample/lakme_duo.jpg,https://www.nykaa.com/eye15
EYE-0016,eyeshadow,Maybelline,Blushed Nudes Palette,Blushed,599,INR,https://images.sample/mayb_blushed.jpg,https://www.nykaa.com/eye16
EYE-0017,eyeshadow,L'Oreal,True Match Eye Shadow Quad,Sahara,650,INR,https://images.sample/loreal_quad.jpg,https://www.nykaa.com/eye17
EYE-0018,eyeshadow,MAC,Times Nine Palette,Smokey Burgundy,4200,INR,https://images.sample/mac_smokey.jpg,https://www.nykaa.com/eye18
EYE-0019,eyeshadow,Swiss Beauty,Matte Eyeshadow,Peach,329,INR,https://images.sample/swiss_peach.jpg,https://www.nykaa.com/eye19
EYE-0020,eyeshadow,Insight,Smokey Eyeshadow Palette,Dark Night,220,INR,https://images.sample/insight_dark.jpg,https://www.nykaa.com/eye20

BLU-0001,blush,Maybelline,Master Contour Blush,Rose,399,INR,https://images.sample/mayb_blush.jpg,https://www.nykaa.com/blu1
BLU-0002,blush,Lakme,9to5 Pure Rouge Blusher,Peach Affair,500,INR,https://images.sample/lakme_peach.jpg,https://www.nykaa.com/blu2
BLU-0003,blush,L'Oreal,Le Blush,Sunset,750,INR,https://images.sample/loreal_blush.jpg,https://www.nykaa.com/blu3
BLU-0004,blush,MAC,Sheertone Blush,Peachykeen,2400,INR,https://images.sample/mac_peach.jpg,https://www.nykaa.com/blu4
BLU-0005,blush,Huda Beauty,Glow Obsessions Blush,Coral,2700,INR,https://images.sample/huda_coral.jpg,https://www.nykaa.com/blu5
BLU-0006,blush,Swiss Beauty,Baked Blusher,Shade 05,249,INR,https://images.sample/swiss_baked.jpg,https://www.nykaa.com/blu6
BLU-0007,blush,Insight,Glow Blusher,Rosewood,180,INR,https://images.sample/insight_rosewood.jpg,https://www.nykaa.com/blu7
BLU-0008,blush,Lakme,Absolute Face Stylist Blush,Coral Punch,750,INR,https://images.sample/lakme_coral.jpg,https://www.nykaa.com/blu8
BLU-0009,blush,Maybelline,Fit Me Blush,Nude,499,INR,https://images.sample/mayb_nudeblush.jpg,https://www.nykaa.com/blu9
BLU-0010,blush,L'Oreal,True Match Blush,Apricot Kiss,899,INR,https://images.sample/loreal_apricot.jpg,https://www.nykaa.com/blu10
BLU-0011,blush,MAC,Glow Play Blush,Cheer Up,2800,INR,https://images.sample/mac_cheer.jpg,https://www.nykaa.com/blu11
BLU-0012,blush,Huda Beauty,Soft Glow Blush,Desert Rose,3100,INR,https://images.sample/huda_soft.jpg,https://www.nykaa.com/blu12
BLU-0013,blush,Swiss Beauty,Matte Blusher,Rosy Brown,220,INR,https://images.sample/swiss_rosy.jpg,https://www.nykaa.com/blu13
BLU-0014,blush,Insight,Velvet Blush,Shade 08,149,INR,https://images.sample/insight_velvet.jpg,https://www.nykaa.com/blu14
BLU-0015,blush,Lakme,Enrich Blush,Raspberry,350,INR,https://images.sample/lakme_raspberry.jpg,https://www.nykaa.com/blu15
BLU-0016,blush,Maybelline,Cheek Heat Liquid Blush,Rose Flush,650,INR,https://images.sample/mayb_cheekheat.jpg,https://www.nykaa.com/blu16
BLU-0017,blush,L'Oreal,Infallible Blush Paint,Coral,950,INR,https://images.sample/loreal_infallible.jpg,https://www.nykaa.com/blu17
BLU-0018,blush,MAC,Extra Dimension Blush,Fairly Precious,3100,INR,https://images.sample/mac_fairly.jpg,https://www.nykaa.com/blu18
BLU-0019,blush,Swiss Beauty,Glow Blusher,Peach Glow,249,INR,https://images.sample/swiss_peachglow.jpg,https://www.nykaa.com/blu19
BLU-0020,blush,Insight,Soft Touch Blush,Shade 15,170,INR,https://images.sample/insight_soft.jpg,https://www.nykaa.com/blu20

MSC-0001,mascara,Maybelline,Colossal Volume Express,Black,499,INR,https://images.sample/colossal.jpg,https://www.nykaa.com/msc1
MSC-0002,mascara,L'Oreal,Paradise Extatic,Black,799,INR,https://images.sample/paradise.jpg,https://www.nykaa.com/msc2
MSC-0003,mascara,MAC,In Extreme Dimension,Black,2400,INR,https://images.sample/mac_masc.jpg,https://www.nykaa.com/msc3
MSC-0004,mascara,Huda Beauty,Legit Lashes,Black,2800,INR,https://images.sample/huda_legit.jpg,https://www.nykaa.com/msc4
MSC-0005,mascara,Swiss Beauty,Lash Volume Mascara,Black,199,INR,https://images.sample/swiss_masc.jpg,https://www.nykaa.com/msc5
MSC-0006,mascara,Insight,Pro Volume Mascara,Black,150,INR,,
